"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2020-07-27,49.15,90,97.25,884,4507.96919,9523.210615,540201.40795,14629.885785
2020-07-28,49.185,88.95,97,900,4437.0723015,9444.4397595,536747.209092,14547.4523685
2020-07-29,49.035,90.5,97.2,900,4508.3318385,9510.7158195,544311.438573,14681.451666
2020-07-30,49.085,88,96.5,890,4567.535956,9512.947876,545393.9342815,14643.989449
2020-08-03,49.19,85,94,860,5183.907826,10124.275962,553207.887634,14894.107287
2020-08-04,48.985,87.15,95.5,865,5196.779462,9930.768238,548920.649011,14889.3287465
2020-08-05,49.072,91,97,870,5224.8823136,9932.0795632,576449.88812,15008.4160256
2020-08-06,48.735,91,97.5,878,5370.041421,10021.8312855,574087.256649,15004.9850355
2020-08-10,49.12,89,105.9,862,5366.28632,9722.827536,583452.827056,15179.607632
2020-08-11,49.005,88.5,109,858,5194.500597,9473.225157,559172.797227,15019.0671015
2020-08-12,48.94,90,108.6,870,5360.021362,9730.921278,566966.699324,15208.266502
2020-08-13,48.7459,92,108.2,897,5433.24238695,9669.6266912,574428.39791043,15120.56383985
2020-08-17,48.635,91,107.5,880,5401.9137675,9720.667723,595992.8558605,15134.5359735
2020-08-18,48.585,92.05,110,910,5441.32566,9766.5518415,582594.074739,15151.640364
2020-08-19,48.695,91.8,108.1,900,5460.4868675,9729.2756085,572569.600424,15122.7143305
2020-08-20,48.635,89.05,108,900,5574.777148,9943.4208865,577704.6270835,15151.105918
2020-08-24,48.535,87.05,107.5,883,5919.9741155,9881.82307,571480.0022995,15327.3481465
2020-08-25,48.57,87.5,106.5,881,5875.639182,10017.596499,552053.167236,15392.07585
2020-08-26,48.568,86.95,106.5,887,5955.2964536,10233.7487096,557966.8287544,15545.7474328
2020-08-27,48.495,87.05,105,873,5875.2613905,10469.265483,549128.1617625,15556.32309
2020-09-01,48.56,87.6,101.6,837,6314.688984,10515.221248,581286.43596,15768.126408
2020-09-02,48.6,85.75,102.5,840.5,6188.95242,10726.70526,554722.06212,16009.36974
2020-09-03,48.715,86.2,105.4,836.5,5706.933021,10086.0266725,499099.6384835,15495.004139
2020-09-08,48.555,93.5,107.5,908,5308.9114455,9375.6160485,491935.788513,14899.480479
2020-09-09,48.655,91.25,105.6,887,5532.034576,9794.991056,498341.4273435,15224.996097
2020-09-10,48.485,92,106,880,5332.739089,9487.2878295,502456.7798695,14908.36174
2020-09-14,48.453,89.5,108.5,915,5417.0308641,9482.8722984,517518.6387687,15102.4415478
2020-09-15,48.2595,90.05,107,937,5403.8189049,9599.95830015,521055.4664364,15118.12326435
2020-09-16,48.32,88,107.1,910,5250.905408,9440.273568,530307.424096,15077.004512
2020-09-17,48.355,88,108.5,905,5170.8274185,9348.510834,529438.421121,14955.2295645
2020-09-21,48.43,90.1,108.9,879.5,5166.643161,9345.939069,506687.242114,14641.197781
2020-09-22,48.46,88.3,108,887,5251.091678,9577.05288,510693.7716,14799.470776
2020-09-23,48.58,88.4,105.1,885,5043.28412,9284.629032,497759.74017,14492.055256
2020-09-24,48.5,87.5,107.3,872,5086.68485,9389.48845,521863.2204,14506.75255
2020-09-28,48.367,86.45,108,895,5388.6690407,9651.7606042,517993.7527941,14945.0257374
2020-09-29,48.355,86.5,108,880,5346.5591595,9548.9278025,524392.596213,14859.9508725
2020-09-30,48.485,86.25,109.7,880,5441.7576115,9716.423091,522886.055832,15012.8711575
2020-10-01,48.367,87.8,115,890,5474.4479152,9790.93181,513631.0397207,15072.4824558
2020-10-05,48.35,88.3,114,875,5458.932575,9691.67047,521857.97933,15188.780205
2020-10-06,48.47,86.55,117.6,871.5,5315.588572,9509.290524,513995.568514,15010.019955
2020-10-07,48.48,88,113.9,865,5406.896832,9692.320368,517231.607424,15274.443312
2020-10-08,48.407,87.95,114,888,5393.5950726,9712.3223916,528395.5879985,15386.6054537
2020-10-12,48.442,87.8,120,900,5840.2014294,10218.7381718,559764.9089786,15785.1599498
2020-10-13,48.82,87.4,119.7,884,5729.642132,10366.394862,557812.408708,15804.518128
2020-10-14,48.4893,87.6,116.9,864,5695.05858714,10203.77311155,554208.78407724,15598.82355066
2020-10-15,48.644,87.5,119,874,5690.5988824,10180.7076244,559179.7859424,15629.2539628
2020-10-19,48.515,89,117,894,5453.115109,9902.2462535,569664.9299065,15341.539439
2020-10-20,48.483,90.8,116.2,910,5521.4088822,9915.5783178,577739.669805,15392.8385802
2020-10-21,48.5,93.95,116.2,921,5493.26035,9925.98575,621948.94075,15369.0874
2020-10-22,48.542,95.75,115.8,945,5445.3299134,9938.7463526,629390.3100472,15466.7724172
2020-10-26,48.2773,95.25,116.3,981,5382.88515589,9663.30023352,631237.6702704,15149.42639546
2020-10-27,48.372,91.9,117,969,5466.108558,9828.3535644,660481.8717936,15126.8144448
2020-10-28,48.2624,92,116.9,965,5201.14714944,9320.03411008,640504.07483648,14576.692672
2020-10-29,48.392,89,114.5,950,5408.338312,9439.1209168,650286.0244576,14764.3798432
2020-10-30,48.377,88.9,115,950,5103.7880131,9332.4844732,655340.1189825,14605.935463
2020-11-03,48.37,90,115,974.5,5177.118492,9513.638939,674776.049696,15028.249432
2020-11-04,48.201,90.5,115.5,996,5369.7070824,9937.8170745,681258.811107,15310.4354973
2020-11-05,48.22,92.85,120,1010,5562.49043,10258.742314,751260.299492,15615.17904
2020-11-06,48.247,92,125,1010,5559.2798738,10284.2533248,751007.0557823,15620.3570507
2020-11-09,48.0523,92.65,125,990,5426.28675658,9998.722584,736753.01929542,15752.81252072
2020-11-10,48.217,95.5,128,1100,5428.5013016,9693.9555245,737281.4361991,15783.6227952
2020-11-11,48.347,94.3,129,1049,5608.3535287,9975.2866343,759112.6753106,15943.7431231
2020-11-13,48.5,93,128.7,1030,5615.2718,10005.0068,791413.7171,16058.32575
2020-11-16,48.16,92.6,127,1015,5624.529344,9967.906368,805047.920208,16144.7972
2020-11-17,48.167,95.3,127.3,1002,5582.796135,9842.2328452,849926.2804354,16060.2939098
2020-11-18,48.232,97.35,128,1029,5526.6492504,9725.5824744,858722.8125688,15888.4262744
2020-11-19,47.947,99,128,1005,5522.3868243,9729.4915446,854276.0046406,15861.0354145
2020-11-20,48.262,104.7,128,1050,5497.7560776,9699.817415,898701.880399,15855.9154346
2020-11-23,48.1139,107.4,125.2,1055,5317.87059113,9657.1814385,883569.48619329,15902.01442703
2020-11-24,48.21,108.9,126,1030,5390.273322,9849.177654,921170.878008,16190.533035
2020-11-25,48.16,107.9,121.8,1021,5424.891696,9839.420304,902138.952176,16148.804112
2020-11-27,47.9837,103.3,116.8,970,5431.11665679,9865.74142057,820924.44344251,16134.49513315
2020-12-01,48.15,105,124,1019,5736.48507,9945.011745,905364.3537,16295.033745
2020-12-02,48.06,104.1,121.9,1030,5742.559638,9887.859594,922804.471908,16298.789652
2020-12-03,47.8825,107.5,121.5,1047,5714.83862225,9799.651603,931094.288888,16234.1689885
2020-12-04,47.9008,108.4,121,1026,5684.9387952,9808.88632,895733.73205248,16380.3252208
2020-12-07,47.9822,109.5,126,1050,5764.47114894,9822.34979404,920856.67216998,16374.44395776
2020-12-09,48.23,107,119.4,1039,5702.001396,9758.351785,894855.36868,16359.119231
